Date,ticker,close_price
2023-01-03,AAPL,123.09601593017578
2023-01-04,AAPL,124.36566162109375
2023-01-05,AAPL,123.04681396484375
2023-01-06,AAPL,127.57421875
2023-01-09,AAPL,128.09584045410156
2023-01-10,AAPL,128.66668701171875
2023-01-11,AAPL,131.38316345214844
2023-01-12,AAPL,131.30441284179688
2023-01-13,AAPL,132.63307189941406
2023-01-17,AAPL,133.7944793701172
2023-01-18,AAPL,133.07598876953125
2023-01-19,AAPL,133.13507080078125
2023-01-20,AAPL,135.69403076171875
2023-01-23,AAPL,138.88287353515625
2023-01-24,AAPL,140.28045654296875
2023-01-25,AAPL,139.62103271484375
2023-01-26,AAPL,141.68788146972656
2023-01-27,AAPL,143.62680053710938
2023-01-30,AAPL,140.74305725097656
2023-01-31,AAPL,142.01268005371094
2023-02-01,AAPL,143.1346435546875
2023-02-02,AAPL,148.4396209716797
2023-02-03,AAPL,152.0615234375
2023-02-06,AAPL,149.3352508544922
2023-02-07,AAPL,152.2091522216797
2023-02-08,AAPL,149.52224731445312
2023-02-09,AAPL,148.4888458251953
2023-02-10,AAPL,148.85354614257812
2023-02-13,AAPL,151.65301513671875
2023-02-14,AAPL,151.01226806640625
2023-02-15,AAPL,153.11187744140625
2023-02-16,AAPL,151.51498413085938
2023-02-17,AAPL,150.37155151367188
2023-02-21,AAPL,146.35968017578125
2023-02-22,AAPL,146.78353881835938
2023-02-23,AAPL,147.26651000976562
2023-02-24,AAPL,144.6149444580078
2023-02-27,AAPL,145.8076629638672
2023-02-28,AAPL,145.30494689941406
2023-03-01,AAPL,143.23497009277344
2023-03-02,AAPL,143.82638549804688
2023-03-03,AAPL,148.87322998046875
2023-03-06,AAPL,151.63327026367188
2023-03-07,AAPL,149.43511962890625
2023-03-08,AAPL,150.68698120117188
2023-03-09,AAPL,148.43954467773438
2023-03-10,AAPL,146.37936401367188
2023-03-13,AAPL,148.32127380371094
2023-03-14,AAPL,150.41094970703125
2023-03-15,AAPL,150.80528259277344
2023-03-16,AAPL,153.6244354248047
2023-03-17,AAPL,152.78656005859375
2023-03-20,AAPL,155.15231323242188
2023-03-21,AAPL,157.00543212890625
2023-03-22,AAPL,155.57615661621094
2023-03-23,AAPL,156.66043090820312
2023-03-24,AAPL,157.9615936279297
2023-03-27,AAPL,156.0197296142578
2023-03-28,AAPL,155.3987274169922
2023-03-29,AAPL,158.47418212890625
2023-03-30,AAPL,160.04147338867188
2023-03-31,AAPL,162.5452117919922
2023-04-03,AAPL,163.7970428466797
2023-04-04,AAPL,163.26475524902344
2023-04-05,AAPL,161.4214630126953
2023-04-06,AAPL,162.30860900878906
2023-04-10,AAPL,159.71615600585938
2023-04-11,AAPL,158.5037384033203
2023-04-12,AAPL,157.8137664794922
2023-04-13,AAPL,163.19573974609375
2023-04-14,AAPL,162.85076904296875
2023-04-17,AAPL,162.87045288085938
2023-04-18,AAPL,164.0927734375
2023-04-19,AAPL,165.23622131347656
2023-04-20,AAPL,164.27017211914062
2023-04-21,AAPL,162.66348266601562
2023-04-24,AAPL,162.9690704345703
2023-04-25,AAPL,161.4313201904297
2023-04-26,AAPL,161.4214630126953
2023-04-27,AAPL,166.00506591796875
2023-04-28,AAPL,167.25689697265625
2023-05-01,AAPL,167.16819763183594
2023-05-02,AAPL,166.1331787109375
2023-05-03,AAPL,165.0587615966797
2023-05-04,AAPL,163.42250061035156
2023-05-05,AAPL,171.09140014648438
2023-05-08,AAPL,171.0223846435547
2023-05-09,AAPL,169.31710815429688
2023-05-10,AAPL,171.08151245117188
2023-05-11,AAPL,171.26882934570312
2023-05-12,AAPL,170.34095764160156
2023-05-15,AAPL,169.847412109375
2023-05-16,AAPL,169.847412109375
2023-05-17,AAPL,170.4593963623047
2023-05-18,AAPL,172.7888946533203
2023-05-19,AAPL,172.89749145507812
2023-05-22,AAPL,171.9499053955078
2023-05-23,AAPL,169.34397888183594
2023-05-24,AAPL,169.620361328125
2023-05-25,AAPL,170.75552368164062
2023-05-26,AAPL,173.1640167236328
2023-05-30,AAPL,175.0098419189453
2023-05-31,AAPL,174.9604949951172
2023-06-01,AAPL,177.76380920410156
2023-06-02,AAPL,178.61268615722656
2023-06-05,AAPL,177.2604217529297
2023-06-06,AAPL,176.8951873779297
2023-06-07,AAPL,175.52313232421875
2023-06-08,AAPL,178.2375946044922
2023-06-09,AAPL,178.6226043701172
2023-06-12,AAPL,181.416015625
